id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2CALgoRXs5TedfP7UxCVxC,Chapter 6.4 - Król Maciuś Pierwszy,0,136200,0,['Janusz Korczak'],['4hLtcEEpjCmBtTnDdzRV4J'],1923-12-27,0.614,0.266,5,-19.567,0,0.96,0.816,0,0.222,0.68,60.37,4
1TZ3AAWuCHRoHqbHCO2EII,I'm Gonna Gitcha,0,162560,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.552,0.354,2,-11.332,0,0.12,0.9490000000000001,0.000025,0.162,0.904,202.05,4
3qaDdnyJPvQgrAIbSQPi2z,Anita,10,192720,0,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.754,0.228,2,-17.338,1,0.0609,0.7609999999999999,0.000321,0.21100000000000002,0.75,126.515,4
22gnTT1BjbjvrAAqaQR4ND,Vecinita Fue por Vos - Remasterizado,0,167973,0,"['Francisco Canaro', 'Azucena Maizani']","['2maQMqxNnlRrBrS1oAsrX9', '0B2RE6SzZ4QsCRkl1nMz1n']",1926-07-15,0.40399999999999997,0.242,6,-14.921,1,0.0483,0.996,0.937,0.172,0.322,66.259,5
4ZexJ0yOloFhUXKWfla4Sj,Kapitel 282 - Der Page und die Herzogin,1,127596,0,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.636,0.147,11,-22.124000000000002,1,0.94,0.46,0,0.382,0.22699999999999998,80.80199999999999,1
5LqxGZFxs1ZaMJ1fzopadr,Chapter 45.2 & Chapter 46.1 - Dolina strachu,0,128753,0,['Arthur Conan Doyle'],['2AcBhTO6Q3zzUrfPKmskp3'],1927-08-26,0.722,0.33399999999999996,1,-17.378,1,0.9520000000000001,0.785,0,0.33799999999999997,0.769,73.384,4
5OIOJxisA2KB37nPlzq5Cg,Chapter 90.2 & Chapter 91.1 - Dolina strachu,0,125518,0,['Arthur Conan Doyle'],['2AcBhTO6Q3zzUrfPKmskp3'],1927-08-26,0.693,0.331,1,-18.268,0,0.955,0.851,0,0.187,0.7709999999999999,75.499,3
4taiyWsCM3XfZV6OgssPKu,Campanadas de la Aldea - Instrumental (Remasterizado),0,193507,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-15,0.552,0.128,0,-15.405,0,0.14,0.986,0.8109999999999999,0.111,0.503,122.285,4
0GMOlF0fjBcE5GBrzBww1Z,Recuerdo Pampeano - Instrumental (Remasterizado),0,209507,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1930-11-20,0.6609999999999999,0.14300000000000002,10,-12.513,1,0.0899,0.992,0.861,0.156,0.6940000000000001,115.837,4
0gn5mZZ7ckTzZqpV7qetgk,Καλυμιώτικος,0,176680,0,['Λαϊκή Ορχήστρα Μιχάλη Φελουζή'],['3bSUaf7nLlT8LK9SONYBLC'],1930-01-01,0.284,0.42700000000000005,7,-10.444,1,0.0444,0.99,0,0.425,0.685,79.735,4
